,word,lang,len,vow,acc,accl,accr,die,cir,ñ,ç,ale,rus,pol,por,sue,esp,ita,fra,ger,cat,num_words,apos,hyph,rares,pre_eng,pre_esp,pre_cat,pre_ita,pre_fra,pre_por,pre_ale,pre_sue,pre_pol,pre_rus,suf_eng,suf_esp,suf_cat,suf_ita,suf_fra,suf_por,suf_ale,suf_sue,suf_pol,suf_rus,en_zipf,de_zipf,ca_zipf,es_zipf,fr_zipf,it_zipf,pl_zipf,pt_zipf,ru_zipf,sv_zipf
37,den,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.01,7.0,3.7,4.63,3.79,3.6,3.41,3.41,3.13,6.94
38,brief.,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,4.71,1.91,2.61,2.88,2.63,2.39,2.12,1.96,2.58
39,die,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.07,7.48,3.8,3.79,4.14,4.35,4.01,3.71,3.89,4.01
40,frau,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,5.66,4.33,2.84,2.75,3.04,2.71,3.01,2.08,3.04
41,öffnete,0,7,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,ihn,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,5.83,1.32,1.52,1.85,1.86,1.24,1.09,1.6,1.67
43,und,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,7.42,3.31,3.57,3.97,4.06,3.54,3.1,3.57,3.76
44,las,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.28,4.4,4.85,6.99,4.22,4.17,4.6,5.06,2.91,4.28
45,die,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.07,7.48,3.8,3.79,4.14,4.35,4.01,3.71,3.89,4.01
46,nachricht,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.34,4.8,0.0,0.0,1.06,1.2,0.0,0.0,0.0,1.01
47,laut,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.94,5.23,1.41,1.49,1.95,1.59,1.46,1.22,1.12,1.39
48,vor:,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,6.31,2.45,2.75,2.7,2.96,2.54,2.4,2.32,2.83
49,liebe,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.24,5.48,1.84,2.04,2.21,2.38,2.28,1.92,2.22,2.29
50,frau,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,5.66,4.33,2.84,2.75,3.04,2.71,3.01,2.08,3.04
51,"müller,",0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,4.8,2.89,3.2,3.42,3.06,3.14,3.26,1.36,3.39
52,wir,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2.72,6.54,2.42,2.38,2.57,2.6,3.54,2.77,2.47,2.73
53,laden,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.74,4.84,3.15,3.33,3.44,3.32,3.07,3.56,1.06,3.11
54,sie,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.06,6.82,2.68,3.03,3.02,3.13,5.89,2.84,2.8,2.86
55,ein,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.22,6.91,2.96,2.98,3.44,3.39,3.35,3.57,2.88,3.12
56,zu,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.2,7.01,3.33,2.97,3.25,3.38,3.18,2.86,3.13,3.13
57,unserer,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1.77,5.3,1.77,1.55,1.83,1.85,1.78,1.67,1.19,1.93
58,party,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.49,4.8,3.94,3.9,3.99,4.32,4.2,4.13,3.54,4.29
59,am,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.78,6.46,4.33,4.45,4.07,4.13,4.53,4.52,3.67,4.28
60,samstag.,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,4.93,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,kommen,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.88,5.71,1.29,1.48,1.9,1.82,1.61,1.38,1.92,3.56
62,sie,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.06,6.82,2.68,3.03,3.02,3.13,5.89,2.84,2.8,2.86
63,doch,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,6.22,1.54,1.73,2.04,2.06,1.9,1.4,1.85,2.35
64,vorbei,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,und,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,7.42,3.31,3.57,3.97,4.06,3.54,3.1,3.57,3.76
66,bringen,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.27,5.3,0.0,0.0,1.05,1.17,0.0,0.0,1.08,1.3
67,sie,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.06,6.82,2.68,3.03,3.02,3.13,5.89,2.84,2.8,2.86
68,ihren,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.79,5.74,1.43,1.5,1.83,1.88,1.55,1.24,1.56,1.97
69,hund,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,4.86,1.13,1.67,1.63,1.58,1.35,1.33,1.23,4.87
70,mit!,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,6.98,3.59,3.56,4.35,3.62,4.19,3.63,3.17,3.67
71,die,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.07,7.48,3.8,3.79,4.14,4.35,4.01,3.71,3.89,4.01
72,frau,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,5.66,4.33,2.84,2.75,3.04,2.71,3.01,2.08,3.04
73,freute,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,sich,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.68,6.79,2.4,2.39,2.58,2.62,2.53,2.04,2.52,2.48
75,sehr,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,6.14,1.58,1.87,2.17,2.1,1.84,1.74,1.67,2.04
76,und,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,7.42,3.31,3.57,3.97,4.06,3.54,3.1,3.57,3.76
77,"beschloss,",0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.26,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,eine,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.88,6.8,2.77,2.56,2.97,2.99,2.46,2.25,2.48,2.83
79,schöne,0,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.52,5.02,1.54,1.02,2.03,1.6,1.99,1.33,0.0,2.1
80,torte,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.11,3.72,0.0,1.09,1.63,3.79,1.17,1.03,0.0,1.09
81,für,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,6.88,2.84,2.94,3.19,3.1,3.45,2.59,2.75,3.23
82,die,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.07,7.48,3.8,3.79,4.14,4.35,4.01,3.71,3.89,4.01
83,party,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.49,4.8,3.94,3.9,3.99,4.32,4.2,4.13,3.54,4.29
84,zu,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.2,7.01,3.33,2.97,3.25,3.38,3.18,2.86,3.13,3.13
85,backen.,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12
86,der,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,4.16,7.46,3.99,4.02,4.29,4.3,3.96,4.79,3.82,4.13
87,hund,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,4.86,1.13,1.67,1.63,1.58,1.35,1.33,1.23,4.87
88,wedelte,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,mit,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,6.98,3.59,3.56,4.35,3.62,4.19,3.63,3.17,3.67
90,dem,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,6.76,3.39,3.32,3.47,3.71,3.4,4.01,2.75,6.07
91,schwanz,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,4.53,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.49
92,und,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,7.42,3.31,3.57,3.97,4.06,3.54,3.1,3.57,3.76
93,bellte,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,erneut,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
