,word,lang,pairs_eng,pairs_cat,pairs_esp,pairs_ger,pairs_por,pairs_pol,pairs_ita,pairs_swe,pairs_fre,pairs_rus,diptongos
42,if,1,0,0,0,0,0,0,0,0,0,0,0
43,will,1,0,1,1,0,0,0,0,1,0,0,0
44,how,1,0,0,0,0,0,0,0,0,0,0,0
45,said,1,0,0,0,0,0,1,0,0,0,0,1
46,an,1,0,0,0,0,0,0,0,0,0,0,0
47,each,1,1,0,1,0,0,1,2,1,1,0,1
48,tell,1,0,1,1,0,0,0,0,1,0,0,0
49,does,1,0,0,0,0,0,0,0,0,1,0,1
50,set,1,0,0,0,0,0,0,0,0,0,0,0
51,three,1,1,0,0,0,0,0,0,0,0,0,1
52,want,1,0,0,1,0,0,0,0,0,0,0,0
53,air,1,0,0,0,0,0,0,0,0,0,0,1
54,well,1,0,1,1,0,0,0,0,1,0,0,0
55,also,1,0,0,0,0,0,0,0,0,0,0,0
56,play,1,0,0,0,0,0,0,1,0,0,0,0
57,small,1,0,1,1,0,0,0,0,1,0,0,0
58,end,1,0,1,1,0,0,0,0,0,0,0,0
59,put,1,0,0,0,0,0,0,0,0,0,0,0
60,home,1,0,0,0,0,0,0,0,0,0,0,0
61,read,1,0,0,0,0,0,0,0,0,0,0,1
62,hand,1,0,1,1,0,0,0,0,0,0,0,0
63,port,1,0,0,0,0,0,0,0,0,0,0,0
64,large,1,0,0,0,0,0,0,1,0,0,0,0
65,spell,1,0,1,1,1,0,0,0,1,0,0,0
66,add,1,0,0,0,0,0,0,0,0,0,0,0
67,land,1,0,1,1,0,0,0,1,0,0,0,0
68,here,1,0,0,0,0,0,0,0,0,0,0,0
69,must,1,1,0,0,1,0,0,0,1,0,0,0
70,big,1,0,0,0,0,0,0,0,0,0,0,0
71,high,1,0,0,0,0,0,0,0,0,0,0,0
72,such,1,1,0,1,0,0,1,2,1,1,0,0
73,follow,1,0,1,1,0,0,0,0,1,0,0,0
74,act,1,0,0,0,0,0,0,0,0,0,0,0
75,ask,1,0,0,0,0,0,0,0,1,0,0,0
76,men,1,0,0,0,0,0,0,0,0,0,0,0
77,change,1,2,0,1,1,0,1,2,2,1,0,0
78,light,1,0,0,0,0,0,0,0,0,0,0,0
79,kind,1,0,1,1,0,0,0,0,0,1,0,0
80,off,1,0,0,0,0,0,0,0,0,0,0,0
81,need,1,0,0,0,0,0,1,1,0,0,0,1
82,house,1,0,0,0,0,0,0,0,0,0,0,1
83,picture,1,0,0,0,0,0,0,0,0,0,0,0
84,try,1,2,0,0,0,0,0,0,0,0,0,0
85,us,1,0,0,0,0,0,0,0,0,0,0,0
86,again,1,0,0,0,0,0,0,0,0,1,0,1
87,animal,1,0,0,0,0,0,0,0,0,0,0,0
88,point,1,0,0,1,0,0,0,0,0,1,0,1
89,mother,1,1,0,0,0,0,0,0,0,0,0,0
90,world,1,0,0,0,0,0,0,0,0,0,0,0
91,near,1,0,0,0,0,0,0,1,0,0,0,1
92,build,1,0,0,0,0,0,0,0,0,0,0,1
93,self,1,0,0,0,0,0,0,0,0,0,0,0
94,earth,1,1,0,0,0,0,0,0,0,0,0,1
95,father,1,1,0,0,0,0,0,0,0,0,0,0
96,any,1,0,1,0,0,0,0,0,0,0,0,0
97,new,1,0,0,0,0,0,0,1,0,0,0,0
98,work,1,0,0,0,0,0,0,0,0,0,0,0
99,part,1,0,0,0,0,0,0,0,0,0,0,0
100,take,1,0,0,0,0,0,0,0,0,0,0,0
101,get,1,0,0,0,0,0,0,0,0,0,0,0
102,place,1,0,0,0,0,0,0,1,0,0,0,0
103,made,1,0,0,0,0,0,0,0,0,0,0,0
104,live,1,0,0,0,0,0,0,0,0,0,0,0
105,where,1,1,0,0,0,0,0,0,0,0,0,0
106,after,1,0,0,0,0,0,0,0,0,0,0,0
107,back,1,1,0,0,1,0,0,0,1,0,0,0
108,little,1,0,0,0,0,0,0,0,1,0,0,0
109,only,1,0,0,0,0,0,0,0,0,0,0,0
110,round,1,0,1,1,0,0,0,0,0,0,0,1
111,man,1,0,0,0,0,0,0,0,0,0,0,0
112,year,1,0,0,0,0,0,0,0,0,0,0,1
113,came,1,0,0,0,0,0,0,0,0,0,0,0
114,show,1,1,0,0,0,0,0,0,0,0,0,0
115,every,1,0,0,0,0,0,0,0,0,0,0,0
116,good,1,0,0,0,0,0,0,0,0,0,0,1
117,me,1,0,0,0,0,0,0,0,0,0,0,0
118,give,1,0,0,0,0,0,0,0,0,0,0,0
119,our,1,0,0,0,0,0,0,0,0,0,0,1
120,under,1,0,1,1,0,0,0,0,0,0,0,0
121,name,1,0,0,0,0,0,0,0,0,0,0,0
122,very,1,0,0,0,0,0,0,0,0,0,0,0
123,through,1,1,0,0,0,0,0,0,0,0,0,1
124,just,1,1,0,0,1,0,0,0,1,0,0,0
125,form,1,0,0,0,0,1,0,0,0,0,0,0
126,sentence,1,0,2,2,0,1,0,0,0,1,0,0
127,great,1,0,0,0,0,0,0,0,0,0,0,1
128,think,1,1,0,0,0,0,0,0,0,1,0,0
129,say,1,0,0,0,0,0,0,0,0,0,0,0
130,help,1,0,0,0,0,0,0,0,0,0,0,0
131,low,1,0,0,0,0,0,0,0,0,0,0,0
132,line,1,0,0,0,0,0,0,1,0,1,0,0
133,differ,1,0,0,0,0,0,1,0,0,0,0,0
134,cause,1,0,0,0,0,0,0,0,0,0,0,1
135,much,1,1,0,1,0,0,1,2,1,1,0,0
136,mean,1,0,0,0,0,0,0,0,0,0,0,1
137,before,1,0,0,0,0,0,0,0,0,0,0,0
138,move,1,0,0,0,0,0,0,0,0,0,0,0
139,right,1,0,0,0,0,0,0,0,0,0,0,0
140,boy,1,0,0,0,0,0,0,0,0,0,0,0
141,old,1,0,0,0,0,0,0,0,0,0,0,0
142,too,1,0,0,0,0,0,0,0,0,0,0,1
143,same,1,0,0,0,0,0,0,0,0,0,0,0
144,she,1,1,0,0,0,0,0,0,0,0,0,0
145,all,1,0,1,1,0,0,0,0,1,0,0,0
146,there,1,1,0,0,0,0,0,0,0,0,0,0
147,when,1,1,0,0,0,0,0,0,0,0,0,0
148,up,1,0,0,0,0,0,0,0,0,0,0,0
149,use,1,0,0,0,0,0,0,0,0,0,0,0
150,your,1,0,0,0,0,0,0,0,0,0,0,1
151,way,1,0,0,0,0,0,0,0,0,0,0,0
152,about,1,0,0,0,0,0,0,0,0,0,0,1
153,many,1,0,1,0,0,0,0,0,0,0,0,0
154,then,1,1,0,0,0,0,0,0,0,0,0,0
155,them,1,1,0,0,0,0,0,0,0,0,0,0
156,write,1,0,0,0,0,0,0,0,0,0,0,0
157,would,1,0,0,0,0,0,0,0,0,0,0,1
158,like,1,0,0,0,0,0,0,0,0,0,0,0
159,so,1,0,0,0,0,0,0,0,0,0,0,0
160,these,1,1,0,0,0,0,0,0,0,1,0,0
161,her,1,0,0,0,0,0,0,0,0,0,0,0
162,long,1,1,0,0,1,0,0,0,1,0,0,0
163,make,1,0,0,0,0,0,0,0,0,0,0,0
164,thing,1,2,0,0,1,0,0,0,1,1,0,0
165,see,1,0,0,0,0,0,0,0,0,0,0,1
166,him,1,0,0,0,0,0,0,0,0,0,0,0
167,two,1,0,0,0,0,0,0,0,0,0,0,0
168,has,1,0,0,0,0,0,0,0,0,0,0,0
169,look,1,0,0,0,0,0,0,0,0,0,0,1
170,more,1,0,0,0,0,0,0,0,0,0,0,0
171,day,1,0,0,0,0,0,0,0,0,0,0,0
172,could,1,0,0,0,0,0,0,0,0,0,0,1
173,go,1,0,0,0,0,0,0,0,0,0,0,0
174,come,1,0,0,0,0,0,0,0,0,0,0,0
175,number,1,0,0,1,0,0,0,0,0,0,0,0
176,sound,1,0,1,1,0,0,0,0,0,0,0,1
177,no,1,0,0,0,0,0,0,0,0,0,0,0
178,most,1,1,0,0,1,0,0,0,1,0,0,0
179,people,1,0,0,0,0,0,0,0,0,0,0,1
180,my,1,0,0,0,0,0,0,0,0,0,0,0
181,over,1,0,0,0,0,0,0,0,0,0,0,0
182,know,1,0,0,0,0,0,0,0,0,0,0,0
183,water,1,0,0,0,0,0,0,0,0,0,0,0
184,than,1,1,0,0,0,0,0,0,0,0,0,0
185,call,1,0,1,1,0,0,0,0,1,0,0,0
186,first,1,1,0,0,1,0,0,0,1,0,0,0
187,who,1,1,0,0,0,0,0,0,0,0,0,0
188,may,1,0,0,0,0,0,0,0,0,0,0,0
189,down,1,0,0,0,0,0,0,0,0,0,0,0
190,side,1,0,0,0,0,0,1,0,0,0,0,0
191,been,1,0,0,0,0,0,0,0,0,0,0,1
192,now,1,0,0,0,0,0,0,0,0,0,0,0
193,find,1,0,1,1,0,0,0,0,0,1,0,0
194,head,1,0,0,0,0,0,0,0,0,0,0,1
195,own,1,0,0,0,0,0,0,0,0,0,0,0
196,page,1,0,0,0,0,0,0,0,0,0,0,0
197,should,1,1,0,0,0,0,0,0,0,0,0,1
198,country,1,2,0,1,0,0,0,0,0,0,0,1
199,found,1,0,1,1,0,0,0,0,0,0,0,1
200,answer,1,0,0,0,0,0,0,0,0,0,0,0
201,school,1,1,1,1,1,1,1,3,1,1,0,1
202,grow,1,0,0,0,0,0,0,0,0,0,0,0
203,study,1,1,0,0,1,0,0,0,1,0,0,0
204,still,1,1,1,1,1,0,0,0,2,0,0,0
205,learn,1,0,0,0,0,0,0,0,0,0,0,1
206,plant,1,0,0,1,0,0,0,1,0,0,0,0
207,cover,1,0,0,0,0,0,0,0,0,0,0,0
208,food,1,0,0,0,0,0,0,0,0,0,0,1
209,sun,1,0,0,0,0,0,0,0,0,0,0,0
210,four,1,0,0,0,0,0,0,0,0,0,0,1
211,between,1,0,0,0,0,0,0,0,0,0,0,1
212,state,1,1,0,0,1,0,0,0,1,0,0,0
213,keep,1,0,0,0,0,0,0,0,0,0,0,1
214,eye,1,0,0,0,0,0,0,0,0,0,0,0
215,never,1,0,0,0,0,0,0,1,0,0,0,0
216,last,1,1,0,0,1,0,0,1,1,0,0,0
217,let,1,0,0,0,0,0,0,0,0,0,0,0
218,thought,1,1,0,0,0,0,0,0,0,0,0,1
219,city,1,0,0,0,0,0,0,1,0,0,0,0
220,tree,1,2,0,0,0,0,0,0,0,0,0,1
221,cross,1,0,0,0,1,0,0,0,0,0,0,0
222,farm,1,0,0,0,0,1,0,0,0,0,0,0
223,hard,1,0,0,0,0,0,0,0,0,0,0,0
224,start,1,1,0,0,1,0,0,0,1,0,0,0
225,might,1,0,0,0,0,0,0,0,0,0,0,0
226,story,1,1,0,0,1,0,0,0,1,0,0,0
227,saw,1,0,0,0,0,0,0,0,0,0,0,0
228,far,1,0,0,0,0,0,0,0,0,0,0,0
229,sea,1,0,0,0,0,0,0,0,0,0,0,1
230,draw,1,0,0,0,0,0,0,0,0,0,0,0
231,left,1,0,0,0,0,0,0,0,0,0,0,0
232,late,1,0,0,0,0,0,0,1,0,0,0,0
233,run,1,0,0,0,0,0,0,0,0,0,0,0
234,don’t,1,0,0,0,0,0,0,0,0,0,0,0
235,while,1,1,0,0,0,0,0,0,0,0,0,0
236,press,1,0,2,1,1,0,0,0,0,1,0,0
237,close,1,0,0,0,0,0,0,0,0,0,0,0
238,night,1,0,0,0,0,0,0,0,0,0,0,0
239,real,1,0,0,0,0,0,0,0,0,0,0,1
240,life,1,0,0,0,0,0,0,0,0,0,0,0
241,few,1,0,0,0,0,0,0,0,0,0,0,0
242,north,1,1,0,0,0,0,0,0,0,0,0,0
243,book,1,0,0,0,0,0,0,0,0,0,0,1
244,carry,1,0,0,1,0,1,0,0,0,0,0,0
245,took,1,0,0,0,0,0,0,0,0,0,0,1
246,science,1,0,3,1,0,2,0,2,0,1,0,1
247,eat,1,0,0,0,0,0,0,0,0,0,0,1
248,room,1,0,0,0,0,0,0,0,0,0,0,1
249,friend,1,0,2,1,0,0,0,0,0,1,0,1
250,began,1,0,0,0,0,0,0,0,0,0,0,0
251,idea,1,0,0,0,0,0,1,0,0,0,0,1
252,fish,1,1,0,0,0,0,0,0,0,0,0,0
253,mountain,1,0,0,1,0,0,0,0,0,1,0,2
254,stop,1,1,0,0,1,0,0,0,1,0,0,0
255,once,1,0,2,1,0,1,0,0,0,0,0,0
256,base,1,0,0,0,0,0,0,0,0,0,0,0
257,hear,1,0,0,0,0,0,0,0,0,0,0,1
258,horse,1,0,0,0,0,0,0,0,0,0,0,0
259,cut,1,0,0,0,0,0,0,0,0,0,0,0
260,sure,1,0,0,0,0,0,0,0,0,0,0,0
261,watch,1,1,0,1,1,1,1,2,1,1,0,0
262,colour,1,0,0,0,0,0,0,0,0,0,0,1
263,face,1,0,0,0,0,0,0,0,0,0,0,0
264,wood,1,0,0,0,0,0,0,0,0,0,0,1
265,main,1,0,0,0,0,0,0,0,0,1,0,1
266,open,1,0,0,0,0,0,0,0,0,0,0,0
267,seem,1,0,0,0,0,0,0,0,0,0,0,1
268,together,1,1,0,0,0,0,0,0,0,0,0,0
269,next,1,0,0,0,0,0,0,1,0,0,0,0
270,white,1,1,0,0,0,0,0,0,0,0,0,0
271,children,1,1,0,1,0,0,1,2,1,1,0,0
272,begin,1,0,0,0,0,0,0,0,0,1,0,0
273,got,1,0,0,0,0,0,0,0,0,0,0,0
274,walk,1,0,0,0,0,0,0,0,0,0,0,0
275,example,1,0,0,0,0,0,0,0,0,0,0,0
276,ease,1,0,0,0,0,0,0,0,0,0,0,1
277,paper,1,0,0,0,0,0,0,0,0,0,0,0
278,group,1,0,0,0,0,0,0,0,0,0,0,1
279,always,1,0,0,0,0,0,0,0,0,0,0,0
280,music,1,0,0,0,0,0,0,0,0,0,0,0
281,those,1,1,0,0,0,0,0,0,0,0,0,0
282,both,1,1,0,0,0,0,0,0,0,0,0,0
283,mark,1,0,0,0,0,0,0,0,0,0,0,0
284,often,1,0,0,0,0,0,0,0,0,0,0,0
285,letter,1,0,0,0,0,0,0,0,1,1,0,0
286,until,1,0,0,1,0,0,0,0,0,0,0,0
287,mile,1,0,0,0,0,0,0,0,0,0,0,0
288,river,1,0,0,0,0,0,0,0,0,0,0,0
289,car,1,0,0,0,0,0,0,0,0,0,0,0
290,feet,1,0,0,0,0,0,0,0,0,0,0,1
291,care,1,0,0,0,0,0,0,0,0,0,0,0
292,second,1,0,1,1,0,0,0,0,0,0,0,0
293,enough,1,0,0,0,0,0,0,0,0,0,0,1
294,plain,1,0,0,0,0,0,0,1,0,1,0,1
295,girl,1,0,0,0,0,0,0,0,0,0,0,0
296,usual,1,0,0,0,0,0,0,0,0,0,0,1
297,young,1,1,0,0,1,0,0,0,1,0,0,1
298,ready,1,0,0,0,0,0,0,0,0,0,0,1
299,above,1,0,0,0,0,0,0,0,0,0,0,0
300,ever,1,0,0,0,0,0,0,0,0,0,0,0
301,red,1,0,0,0,0,0,1,0,0,0,0,0
302,list,1,1,0,0,1,0,0,0,1,0,0,0
303,though,1,1,0,0,0,0,0,0,0,0,0,1
304,feel,1,0,0,0,0,0,0,0,0,0,0,1
305,talk,1,0,0,0,0,0,0,0,0,0,0,0
306,bird,1,0,0,0,0,0,0,0,0,0,0,0
307,soon,1,0,0,0,0,0,0,0,0,0,0,1
308,body,1,0,0,0,0,0,0,0,0,0,0,0
309,dog,1,0,0,0,0,0,0,0,0,0,0,0
310,family,1,0,0,0,0,0,0,0,0,0,0,0
311,direct,1,0,0,0,0,0,1,0,0,0,0,0
312,pose,1,0,0,0,0,0,0,0,0,0,0,0
313,leave,1,0,0,0,0,0,0,0,0,0,0,1
314,song,1,1,0,0,1,0,0,0,1,0,0,0
315,measure,1,0,0,0,0,0,0,0,0,0,0,1
316,door,1,0,0,0,0,0,0,0,0,0,0,1
317,product,1,0,2,1,0,0,0,0,0,0,0,0
318,black,1,1,1,0,1,0,0,1,1,0,0,0
319,short,1,1,0,0,0,0,0,0,0,0,0,0
320,numeral,1,0,0,0,0,0,0,0,0,0,0,0
321,class,1,0,0,0,1,0,0,1,0,0,0,0
322,wind,1,0,1,1,0,0,0,0,0,1,0,0
323,question,1,2,0,1,2,1,0,3,1,1,0,2
324,happen,1,0,0,0,0,0,0,0,0,0,0,0
325,complete,1,0,0,0,0,0,0,0,0,0,0,0
326,ship,1,1,0,0,0,0,0,0,0,0,0,0
327,area,1,0,0,0,0,0,0,0,0,0,0,1
328,half,1,0,0,0,0,0,0,0,0,0,0,0
329,rock,1,1,0,0,1,0,0,0,1,0,0,0
330,order,1,0,0,0,0,0,0,0,0,0,0,0
331,fire,1,0,0,0,0,0,0,0,0,0,0,0
332,south,1,1,0,0,0,0,0,0,0,0,0,1
333,problem,1,0,3,1,0,0,0,0,0,0,0,0
334,piece,1,0,0,0,0,0,0,0,0,1,0,1
335,told,1,0,0,0,0,0,0,0,0,0,0,0
336,knew,1,0,0,0,0,0,0,1,0,0,0,0
337,pass,1,0,0,0,1,0,0,0,0,0,0,0
338,since,1,0,2,1,0,1,0,0,0,1,0,0
339,top,1,0,0,0,0,0,0,0,0,0,0,0
340,whole,1,1,0,0,0,0,0,0,0,0,0,0
341,king,1,1,0,0,1,0,0,0,1,1,0,0
342,street,1,3,0,0,2,0,0,0,1,0,0,1
343,inch,1,1,2,2,0,1,1,2,1,2,0,0
344,multiply,1,0,0,0,0,0,0,0,0,0,0,0
345,nothing,1,2,0,0,1,0,0,0,1,1,0,0
346,course,1,0,0,0,0,0,0,0,0,0,0,1
347,stay,1,1,0,0,1,0,0,0,1,0,0,0
348,wheel,1,1,0,0,0,0,0,0,0,0,0,1
349,full,1,0,1,1,0,0,0,0,1,0,0,0
350,force,1,0,1,0,0,0,0,0,0,0,0,0
351,blue,1,0,1,0,0,0,0,0,0,0,0,1
352,object,1,0,0,0,0,0,0,0,0,0,0,0
353,decide,1,0,0,0,0,0,1,1,1,0,0,0
354,surface,1,0,0,0,0,0,0,0,0,0,0,0
355,deep,1,0,0,0,0,0,0,0,0,0,0,1
356,moon,1,0,0,0,0,0,0,0,0,0,0,1
357,island,1,0,1,1,0,0,0,1,0,0,0,0
358,foot,1,0,0,0,0,0,0,0,0,0,0,1
359,system,1,1,0,0,1,0,0,0,1,0,0,0
360,busy,1,0,0,0,0,0,0,0,0,0,0,0
361,test,1,1,0,0,1,0,0,0,1,1,0,0
362,record,1,0,0,0,0,0,0,0,0,0,0,0
363,boat,1,0,0,0,0,0,0,0,0,0,0,1
364,common,1,0,0,0,0,0,0,0,0,0,0,0
365,gold,1,0,0,0,0,0,0,0,0,0,0,0
366,possible,1,0,1,0,1,0,0,0,0,0,0,0
367,plane,1,0,0,0,0,0,0,2,0,0,0,0
368,stead,1,1,0,0,1,0,0,0,1,0,0,1
369,dry,1,0,0,0,0,0,0,0,0,0,0,0
370,wonder,1,0,1,1,0,0,0,0,0,0,0,0
371,laugh,1,0,0,0,0,0,0,1,0,0,0,1
372,thousand,1,1,1,1,0,0,0,0,0,0,0,1
373,ago,1,0,0,0,0,0,0,0,0,0,0,0
374,ran,1,0,0,0,0,0,0,0,0,0,0,0
375,check,1,2,0,1,1,0,1,2,2,2,0,0
376,game,1,0,0,0,0,0,0,0,0,0,0,0
377,shape,1,1,0,0,0,0,0,0,0,0,0,0
378,equate,1,1,0,1,1,1,0,1,0,0,0,1
379,hot,1,0,0,0,0,0,0,0,0,0,0,0
380,miss,1,0,0,0,1,0,0,0,0,0,0,0
381,brought,1,0,1,0,0,0,0,0,0,0,0,1
382,heat,1,0,0,0,0,0,0,0,0,0,0,1
383,snow,1,0,0,0,0,0,0,0,0,0,0,0
384,tire,1,0,0,0,0,0,0,0,0,0,0,0
385,bring,1,1,1,0,1,0,0,0,1,1,0,0
386,yes,1,0,0,0,0,0,0,0,0,1,0,0
387,distant,1,1,0,1,1,0,1,0,1,0,0,0
388,fill,1,0,1,1,0,0,0,0,1,0,0,0
389,paint,1,0,0,1,0,0,0,0,0,1,0,1
390,language,1,1,0,1,1,1,0,1,1,0,0,1
391,among,1,1,0,0,1,0,0,0,1,0,0,0
392,unit,1,0,0,0,0,0,0,0,0,0,0,0
393,power,1,0,0,0,0,0,0,0,0,0,0,0
394,town,1,0,0,0,0,0,0,0,0,0,0,0
395,fine,1,0,0,0,0,0,0,1,0,1,0,0
396,certain,1,0,0,0,0,0,0,0,0,1,0,1
397,fly,1,0,0,0,0,0,0,0,0,0,0,0
398,fall,1,0,1,1,0,0,0,0,1,0,0,0
399,lead,1,0,0,0,0,0,0,0,0,0,0,1
400,cry,1,0,0,0,0,0,0,0,0,0,0,0
401,dark,1,0,0,0,0,0,0,0,0,0,0,0
402,machine,1,1,0,1,0,0,1,3,1,2,0,0
403,note,1,0,0,0,0,0,0,0,0,0,0,0
404,wait,1,0,0,0,0,0,0,0,0,0,0,1
405,plan,1,0,0,0,0,0,0,1,0,0,0,0
406,figure,1,0,0,1,0,1,0,0,0,0,0,0
407,star,1,1,0,0,1,0,0,0,1,0,0,0
408,box,1,0,0,0,0,0,0,0,0,0,0,0
409,noun,1,0,0,0,0,0,0,0,0,0,0,1
410,field,1,0,0,0,0,0,0,0,0,1,0,1
411,rest,1,1,0,0,1,0,0,0,1,1,0,0
412,correct,1,0,0,1,0,1,0,0,0,0,0,0
413,able,1,0,1,0,0,0,0,0,0,0,0,0
414,pound,1,0,1,1,0,0,0,0,0,0,0,1
415,done,1,0,0,0,0,0,0,1,0,0,0,0
416,beauty,1,0,0,0,0,0,0,0,0,1,0,2
417,drive,1,0,0,0,0,0,0,0,0,0,0,0
418,stood,1,1,0,0,1,0,0,0,1,0,0,1
419,contain,1,0,0,1,0,0,0,0,0,1,0,1
420,front,1,0,1,1,0,0,0,0,0,0,0,0
421,teach,1,1,0,1,0,0,1,2,1,1,0,1
422,week,1,0,0,0,0,0,0,0,0,0,0,1
423,final,1,0,0,0,0,0,0,0,0,1,0,0
424,gave,1,0,0,0,0,0,0,0,0,0,0,0
425,green,1,0,0,0,0,0,0,0,0,0,0,1
426,oh,1,0,0,0,0,0,0,0,0,0,0,0
427,quick,1,2,0,1,2,1,0,1,1,0,0,1
428,develop,1,0,0,0,0,0,0,0,0,0,0,0
429,ocean,1,0,0,0,0,0,0,0,0,0,0,1
430,warm,1,0,0,0,0,1,0,0,0,0,0,0
431,free,1,0,1,0,0,0,0,0,0,0,0,1
432,minute,1,0,0,0,0,0,0,0,0,1,0,0
433,strong,1,4,0,0,3,0,0,0,2,0,0,0
434,special,1,0,0,0,1,0,0,1,0,0,0,1
435,mind,1,0,1,1,0,0,0,0,0,1,0,0
436,behind,1,0,1,1,0,0,0,0,0,1,0,0
437,clear,1,0,0,0,0,0,0,0,0,0,0,1
438,tail,1,0,0,0,0,0,0,0,0,0,0,1
439,produce,1,0,2,1,0,0,0,0,0,0,0,0
440,fact,1,0,0,0,0,0,0,0,0,0,0,0
441,space,1,0,0,0,1,0,0,0,0,0,0,0
442,heard,1,0,0,0,0,0,0,0,0,0,0,1
443,best,1,1,0,0,1,0,0,0,1,1,0,0
444,hour,1,0,0,0,0,0,0,0,0,0,0,1
445,better,1,0,0,0,0,0,0,0,1,1,0,0
446,true,1,2,0,0,0,0,0,0,0,0,0,1
447,during,1,1,0,0,1,0,0,0,1,1,0,0
448,hundred,1,0,1,1,0,0,1,0,0,0,0,0
449,five,1,0,0,0,0,0,0,0,0,0,0,0
450,remember,1,0,0,1,0,0,0,0,0,0,0,0
451,step,1,1,0,0,1,0,0,0,1,0,0,0
452,early,1,0,0,0,0,0,0,0,0,0,0,1
453,hold,1,0,0,0,0,0,0,0,0,0,0,0
454,west,1,1,0,0,1,0,0,0,1,1,0,0
455,ground,1,0,1,1,0,0,0,0,0,0,0,1
456,interest,1,1,0,1,1,0,0,0,1,2,0,0
457,reach,1,1,0,1,0,0,1,2,1,1,0,1
458,fast,1,1,0,0,1,0,0,0,1,0,0,0
459,verb,1,0,0,0,0,0,0,0,0,0,0,0
460,sing,1,1,0,0,1,0,0,0,1,1,0,0
461,listen,1,1,0,0,1,0,0,0,1,0,0,0
462,six,1,0,1,0,0,0,0,0,0,0,0,0
463,table,1,0,1,0,0,0,0,0,0,0,0,0
464,travel,1,2,0,0,0,0,0,0,0,0,0,0
465,less,1,0,0,0,1,0,0,0,0,1,0,0
466,morning,1,1,0,0,1,0,0,0,1,1,0,0
467,ten,1,0,0,0,0,0,0,0,0,0,0,0
468,simple,1,0,0,0,0,0,0,0,0,0,0,0
469,several,1,0,0,0,0,0,0,0,0,0,0,0
470,vowel,1,0,0,0,0,0,0,0,0,0,0,0
471,toward,1,0,0,0,0,0,0,0,0,0,0,0
472,war,1,0,0,0,0,0,0,0,0,0,0,0
473,lay,1,0,0,0,0,0,0,1,0,0,0,0
474,against,1,1,0,0,1,0,0,0,1,1,0,1
475,pattern,1,0,0,0,0,0,0,0,1,0,0,0
476,slow,1,0,0,0,0,0,0,0,0,0,0,0
477,center,1,0,0,1,0,0,0,0,0,1,0,0
478,love,1,0,0,0,0,0,0,0,0,0,0,0
479,person,1,0,0,0,0,0,0,0,0,0,0,0
480,money,1,0,0,0,0,0,0,1,0,0,0,0
481,serve,1,0,0,0,0,0,0,0,0,0,0,0
482,appear,1,0,0,0,0,0,0,0,0,0,0,1
483,road,1,0,0,0,0,0,0,0,0,0,0,1
484,map,1,0,0,0,0,0,0,0,0,0,0,0
485,rain,1,0,0,0,0,0,0,0,0,1,0,1
486,rule,1,0,0,0,0,0,0,0,0,0,0,0
