,word,lang,pre_eng,pre_esp,pre_cat,pre_ita,pre_fra,pre_por,pre_ale,pre_sue,pre_pol,pre_rus,suf_eng,suf_esp,suf_cat,suf_ita,suf_fra,suf_por,suf_ale,suf_sue,suf_pol,suf_rus,en_zipf,es_zipf,ca_zipf,it_zipf,fr_zipf,pt_zipf,de_zipf,sv_zipf,pl_zipf,ru_zipf
37,were,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6.34,3.41,3.24,3.48,3.37,3.63,3.67,3.64,3.64,3.27
38,which,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.3,3.25,2.9,3.34,3.37,3.35,3.71,3.46,3.42,3.19
39,do,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,4.64,4.63,4.87,4.45,7.22,4.56,4.54,7.11,4.05
40,their,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6.33,3.41,2.98,3.49,3.48,3.97,3.76,3.65,3.73,3.23
41,time,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.29,4.21,4.3,4.6,4.26,5.25,4.37,4.44,4.39,4.05
42,if,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,3.89,3.61,3.99,3.97,4.19,4.17,4.74,4.28,3.85
43,will,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.45,4.05,3.92,4.24,4.13,4.62,5.96,4.33,4.28,3.67
44,how,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,3.76,3.71,3.95,3.72,4.12,4.19,4.11,4.15,3.73
45,said,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,3.58,3.33,3.61,3.42,3.66,3.67,3.68,3.82,3.12
46,an,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,4.43,4.28,4.44,5.36,4.5,6.69,4.86,4.44,3.7
47,each,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,2.89,2.47,2.83,2.92,3.13,3.13,3.0,2.91,2.69
48,tell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,3.32,2.78,3.34,3.42,3.84,3.61,3.77,3.53,3.18
49,does,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.74,3.07,2.56,3.12,3.02,3.32,3.3,3.42,3.08,2.98
50,set,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,4.06,5.12,4.54,4.0,4.29,4.3,4.08,3.89,3.23
51,three,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.78,3.25,3.46,3.55,3.36,3.91,3.61,3.58,3.53,3.15
52,want,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.04,3.67,3.38,3.77,3.58,4.03,3.72,3.79,3.95,3.52
53,air,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5.37,4.03,3.95,4.15,5.39,4.06,4.48,4.21,4.29,4.08
54,well,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.03,3.42,2.96,3.5,3.46,3.63,3.86,4.12,3.82,3.24
55,also,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19,3.34,2.91,3.47,3.21,3.53,6.0,3.64,3.73,2.78
56,play,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.61,4.23,4.1,4.27,4.17,4.34,4.41,4.35,4.34,3.97
57,small,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,3.35,2.91,3.39,3.41,3.62,3.67,3.74,3.58,2.9
58,end,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,3.67,3.45,4.3,4.83,4.06,4.2,4.01,4.0,3.4
59,put,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.66,3.3,3.26,3.23,3.97,3.42,3.39,3.73,3.41,2.97
60,home,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.81,4.05,5.38,4.35,4.06,4.5,4.33,4.07,4.2,3.86
61,read,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,3.36,3.32,3.48,3.39,3.97,3.83,3.59,3.63,3.05
62,hand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,3.26,3.34,3.46,3.51,3.63,5.3,5.36,3.65,3.16
63,port,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,3.65,4.98,3.69,4.86,3.7,3.88,4.06,4.4,2.73
64,large,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.39,2.86,2.81,3.28,4.91,3.31,3.33,3.33,3.19,2.56
65,spell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,2.41,1.7,2.41,2.29,2.48,2.48,2.72,2.35,2.35
66,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,3.03,2.52,3.31,3.21,3.54,3.5,3.29,3.02,2.57
67,land,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,3.77,3.8,3.81,3.77,3.97,5.47,5.31,3.96,3.82
68,here,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.97,3.84,3.44,3.87,3.68,4.11,4.0,4.09,3.98,3.58
69,must,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,3.29,3.05,3.64,3.47,3.47,3.73,3.84,3.74,3.21
70,big,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.67,4.25,4.28,4.53,4.46,4.55,4.57,4.64,4.43,3.97
71,high,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,3.8,3.61,4.0,4.12,4.1,4.56,4.43,4.2,3.64
72,such,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,2.96,2.63,3.06,3.02,3.08,4.25,3.33,3.12,2.81
73,follow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,3.08,2.79,3.44,3.1,3.64,3.31,3.23,3.21,2.86
74,act,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,3.56,3.74,4.14,3.74,3.82,3.84,3.5,3.75,2.95
75,ask,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,3.19,2.8,3.35,3.33,3.75,3.39,4.03,3.31,2.95
76,men,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.51,4.0,3.63,4.25,3.97,4.09,4.06,6.82,4.12,3.45
77,change,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.54,3.53,3.45,3.66,4.9,3.65,3.79,3.57,3.7,3.1
78,light,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,3.87,3.64,3.98,3.83,4.08,4.01,3.99,4.15,3.68
79,kind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,2.94,2.36,2.98,3.04,3.43,5.27,3.58,3.13,2.98
80,off,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,4.03,4.19,4.32,4.16,4.46,4.27,4.33,4.22,3.65
81,need,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97,3.46,3.36,3.52,3.52,3.8,3.67,3.74,3.85,3.6
82,house,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.71,4.2,4.09,4.35,4.11,4.53,4.27,4.44,4.45,3.82
83,picture,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5.13,2.96,2.43,3.14,3.09,3.42,3.39,3.18,2.98,2.91
84,try,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.5,3.14,2.37,3.15,3.11,3.36,3.49,3.57,3.4,2.94
85,us,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.04,4.55,5.92,4.34,4.65,5.0,5.3,4.3,4.46,4.0
86,again,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.7,3.6,3.2,3.67,3.49,3.98,3.74,3.86,3.93,3.35
87,animal,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4.81,4.67,4.6,3.45,4.61,4.75,3.5,3.38,3.49,3.1
88,point,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,3.75,3.62,3.97,5.58,4.09,4.02,3.94,3.93,3.37
89,mother,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,5.24,3.39,3.6,3.27,3.16,3.64,3.36,3.53,3.45,2.97
90,world,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.89,4.34,4.6,4.52,4.26,4.75,4.55,4.48,4.69,4.45
91,near,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5.29,2.75,2.66,2.9,2.84,3.16,3.1,3.13,2.95,2.56
92,build,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,3.02,2.43,3.27,3.03,3.34,3.22,3.01,2.94,2.85
93,self,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,3.37,3.3,3.73,3.7,3.73,3.72,3.59,3.62,2.81
94,earth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,3.64,3.67,3.69,3.38,3.88,3.59,3.85,3.8,3.31
95,father,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,5.26,3.0,2.2,2.78,2.76,3.37,3.08,2.95,2.97,2.82
96,any,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.07,3.47,6.02,3.37,3.31,3.63,3.6,3.45,3.69,3.15
97,new,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,4.66,4.71,5.15,5.05,4.86,5.1,5.09,4.87,4.73
98,work,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.96,3.58,3.55,3.79,3.6,4.1,3.98,3.8,3.86,3.45
99,part,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,3.81,6.02,4.14,5.63,4.14,4.15,4.18,3.89,3.38
100,take,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.92,3.54,3.49,3.79,3.61,4.01,3.88,3.91,3.95,3.62
101,get,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28,3.81,3.46,3.82,3.88,4.22,4.11,4.28,4.11,3.8
102,place,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.71,3.7,3.56,3.67,5.66,3.96,3.74,3.84,4.09,3.24
103,made,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.92,3.66,3.79,4.11,3.91,3.83,3.98,3.71,4.08,3.53
104,live,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5.54,4.11,4.17,4.73,4.51,4.71,4.93,4.81,4.52,4.18
105,where,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6.0,3.39,2.79,3.56,3.47,3.79,3.65,3.68,3.78,3.42
106,after,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,6.11,3.57,3.53,3.67,3.67,3.91,3.91,3.83,3.89,3.38
107,back,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,3.92,3.55,4.07,4.1,4.32,4.1,4.4,4.15,3.9
108,little,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.75,3.91,3.71,4.17,3.96,4.45,4.05,4.17,4.29,3.7
109,only,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.12,3.55,3.07,3.65,3.67,3.94,3.94,4.01,3.96,3.55
110,round,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,3.45,3.2,3.84,3.68,3.69,3.37,3.45,3.16,2.97
111,man,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,4.52,4.04,4.58,4.45,4.52,6.46,6.73,4.46,3.99
112,year,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5.96,3.28,3.4,3.47,3.42,3.97,3.65,3.88,3.71,3.06
113,came,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.5,3.04,2.07,2.98,3.41,3.23,3.03,3.03,2.9,2.92
114,show,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,4.64,4.16,4.72,4.45,5.1,4.81,4.44,4.64,3.69
115,every,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.79,3.13,2.57,3.32,3.22,3.56,3.47,3.53,3.45,3.13
116,good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,3.97,3.79,4.06,4.08,4.26,4.2,4.34,4.31,3.88
117,me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.48,6.7,5.58,6.09,6.31,6.55,4.63,4.82,4.87,4.47
118,give,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5.71,3.25,2.49,3.39,3.39,3.75,3.59,3.67,3.6,3.33
119,our,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,3.59,3.71,3.75,3.8,3.96,3.9,3.81,4.05,3.57
120,under,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,5.73,3.45,3.63,4.16,3.4,3.9,3.73,6.17,3.7,3.07
121,name,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.61,3.43,2.94,3.57,3.62,3.89,5.14,3.74,3.75,3.6
122,very,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,3.35,2.9,3.58,3.44,3.59,3.67,3.65,3.6,3.3
123,through,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,3.22,2.82,3.36,3.27,3.73,3.5,3.44,3.3,3.21
124,just,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,3.87,5.14,3.98,4.02,4.19,4.22,5.9,4.28,3.9
125,form,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,3.12,3.12,3.54,3.13,3.43,5.2,5.18,4.41,2.59
126,sentence,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.58,2.19,0.0,2.32,3.75,2.28,2.38,2.07,2.06,1.93
127,great,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,3.56,3.31,3.64,3.65,3.95,3.91,3.99,3.83,3.45
128,think,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,3.57,3.4,3.55,3.6,3.66,3.61,3.71,3.78,3.21
129,say,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.89,3.56,2.6,3.59,3.63,3.94,3.68,3.88,3.97,3.47
130,help,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,3.5,3.52,3.75,3.51,3.83,3.68,3.64,3.82,3.29
131,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,3.62,3.5,3.89,3.85,3.85,3.98,3.73,3.81,3.11
132,line,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.49,4.03,4.13,4.35,3.88,4.6,4.13,3.99,4.24,3.67
133,differ,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,4.03,1.6,0.0,1.8,1.7,1.26,1.93,1.54,1.23,1.33
134,cause,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.35,3.54,2.55,4.62,5.4,3.68,3.22,3.1,3.38,3.04
135,much,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,3.5,2.66,3.4,3.33,3.47,3.76,3.78,3.72,3.17
136,mean,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,3.23,2.13,3.26,3.04,3.44,3.44,3.38,3.62,2.97
137,before,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,5.93,3.2,2.68,3.38,3.38,3.63,3.51,3.47,3.45,3.17
138,move,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.35,3.18,2.86,3.4,3.27,4.11,3.54,3.52,3.4,2.99
139,right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,3.76,3.48,3.85,3.72,3.99,3.85,4.24,4.13,3.7
140,boy,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.17,4.17,3.81,4.23,4.21,4.34,4.18,4.1,4.06,3.64
141,old,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,3.74,3.54,3.88,3.82,4.21,4.04,4.1,4.13,3.37
142,too,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,3.62,2.96,3.65,3.59,3.89,3.74,3.89,3.95,3.34
143,same,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.8,3.48,3.07,3.46,3.42,3.62,3.76,3.86,5.2,3.01
144,she,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.26,3.49,2.88,3.51,3.48,3.89,3.74,3.85,3.82,3.49
145,all,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,4.25,4.43,5.13,4.33,4.67,5.2,5.48,4.59,4.17
146,there,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6.31,3.63,2.93,3.7,3.58,3.85,3.82,4.05,3.96,3.47
147,when,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.37,3.64,3.22,3.73,3.72,4.05,3.9,3.9,4.05,3.79
148,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,4.33,4.13,4.57,4.61,4.66,4.65,4.68,4.56,4.09
149,use,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.81,4.1,3.02,3.49,3.77,4.64,3.72,3.5,3.56,3.0
150,your,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,4.06,4.12,4.24,4.16,4.49,4.38,4.4,4.41,4.08
151,way,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6.01,3.71,3.58,3.83,3.82,4.22,4.0,4.15,3.98,3.75
152,about,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.4,3.77,3.78,3.92,3.86,4.08,4.0,4.08,3.98,3.68
153,many,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.91,3.2,3.18,3.18,3.23,3.38,3.41,3.37,3.33,2.94
154,then,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.07,3.24,2.54,3.32,3.22,3.45,3.51,3.74,3.54,3.14
155,them,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19,3.32,3.13,3.4,3.35,3.43,3.56,3.64,3.53,3.22
156,write,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.03,2.89,2.24,3.09,2.69,3.06,3.02,2.84,3.12,2.58
157,would,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.27,3.2,2.63,3.31,3.25,3.42,3.5,3.54,3.49,3.07
