,word,lang,pairs_eng,pairs_cat,pairs_esp,pairs_ger,pairs_por,pairs_pol,pairs_ita,pairs_swe,pairs_fre,pairs_rus,diptongos,pre_eng,pre_esp,pre_cat,pre_ita,pre_fra,pre_por,pre_ale,pre_sue,pre_pol,pre_rus,suf_eng,suf_esp,suf_cat,suf_ita,suf_fra,suf_por,suf_ale,suf_sue,suf_pol,suf_rus,en_zipf,de_zipf,ca_zipf,es_zipf,fr_zipf,it_zipf,pl_zipf,pt_zipf,ru_zipf,sv_zipf
11,at,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,4.67,4.36,4.2,4.26,4.34,4.41,4.82,4.41,4.77
12,one,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.47,4.65,4.3,4.41,4.53,4.63,5.49,4.9,4.4,4.62
13,have,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.71,4.14,3.67,3.83,3.83,4.02,4.23,4.0,3.71,4.15
14,this,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.82,4.51,4.1,4.22,4.15,4.42,4.49,4.43,4.1,4.48
15,from,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63,4.4,3.9,4.18,4.15,4.26,4.55,4.67,4.02,4.47
16,by,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.66,4.72,4.64,4.55,4.52,4.72,6.26,4.78,4.54,4.94
17,hot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,4.16,3.7,3.93,4.05,4.19,4.32,4.09,3.57,4.93
18,word,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.26,3.9,3.28,3.64,3.57,3.71,3.87,3.88,3.34,3.82
19,but,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.63,4.05,3.55,3.74,5.28,3.9,4.28,4.01,3.56,4.17
20,what,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.38,4.21,3.33,3.99,3.99,4.14,4.35,4.27,3.96,4.38
21,some,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.2,3.81,2.89,3.53,3.58,3.62,3.71,4.34,3.41,3.84
22,is,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.07,5.25,4.43,4.49,4.51,4.7,4.82,4.75,4.37,5.13
23,it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,4.93,4.27,4.45,4.46,4.82,4.82,4.69,4.52,5.07
24,you,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,4.84,4.17,4.63,4.67,4.7,5.07,5.01,4.61,4.99
25,or,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.54,4.4,5.0,4.23,5.35,4.39,4.37,4.4,3.76,4.53
26,had,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,3.55,2.67,3.29,3.37,3.34,3.43,3.47,3.22,3.69
27,the,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.73,5.62,5.48,5.42,5.35,5.5,5.66,5.99,5.43,5.63
28,of,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,5.45,5.16,5.1,5.17,5.28,5.42,5.73,4.96,5.35
29,to,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,5.17,4.99,4.9,4.91,5.02,7.29,5.75,4.81,5.1
30,and,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,5.22,4.86,4.95,4.99,5.1,5.28,5.48,4.7,5.19
31,a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,5.78,7.5,7.36,7.0,7.21,6.87,7.52,5.07,5.7
32,in,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.27,7.24,5.08,5.07,5.24,7.21,5.31,5.53,4.75,6.31
33,we,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.54,4.44,4.0,4.27,4.24,4.31,5.76,4.45,4.03,4.36
34,can,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,4.22,4.96,4.13,4.14,4.23,4.24,4.26,3.71,4.18
35,out,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.38,4.41,4.09,4.02,4.28,4.48,4.35,4.46,3.93,4.43
36,other,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,6.16,3.83,2.96,3.51,3.6,3.54,3.8,3.96,3.26,3.77
37,were,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6.34,3.67,3.24,3.41,3.37,3.48,3.64,3.63,3.27,3.64
38,which,1,2,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.3,3.71,2.9,3.25,3.37,3.34,3.42,3.35,3.19,3.46
39,do,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,4.56,4.63,4.64,4.45,4.87,7.11,7.22,4.05,4.54
40,their,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6.33,3.76,2.98,3.41,3.48,3.49,3.73,3.97,3.23,3.65
41,time,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.29,4.37,4.3,4.21,4.26,4.6,4.39,5.25,4.05,4.44
42,if,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47,4.17,3.61,3.89,3.97,3.99,4.28,4.19,3.85,4.74
43,will,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.45,5.96,3.92,4.05,4.13,4.24,4.28,4.62,3.67,4.33
44,how,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,4.19,3.71,3.76,3.72,3.95,4.15,4.12,3.73,4.11
45,said,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,3.67,3.33,3.58,3.42,3.61,3.82,3.66,3.12,3.68
46,an,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,6.69,4.28,4.43,5.36,4.44,4.44,4.5,3.7,4.86
47,each,1,1,0,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69,3.13,2.47,2.89,2.92,2.83,2.91,3.13,2.69,3.0
48,tell,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,3.61,2.78,3.32,3.42,3.34,3.53,3.84,3.18,3.77
49,does,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.74,3.3,2.56,3.07,3.02,3.12,3.08,3.32,2.98,3.42
50,set,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,4.3,5.12,4.06,4.0,4.54,3.89,4.29,3.23,4.08
51,three,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.78,3.61,3.46,3.25,3.36,3.55,3.53,3.91,3.15,3.58
52,want,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.04,3.72,3.38,3.67,3.58,3.77,3.95,4.03,3.52,3.79
53,air,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5.37,4.48,3.95,4.03,5.39,4.15,4.29,4.06,4.08,4.21
54,well,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.03,3.86,2.96,3.42,3.46,3.5,3.82,3.63,3.24,4.12
55,also,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19,6.0,2.91,3.34,3.21,3.47,3.73,3.53,2.78,3.64
56,play,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.61,4.41,4.1,4.23,4.17,4.27,4.34,4.34,3.97,4.35
57,small,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,3.67,2.91,3.35,3.41,3.39,3.58,3.62,2.9,3.74
58,end,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,4.2,3.45,3.67,4.83,4.3,4.0,4.06,3.4,4.01
59,put,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.66,3.39,3.26,3.3,3.97,3.23,3.41,3.42,2.97,3.73
60,home,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.81,4.33,5.38,4.05,4.06,4.35,4.2,4.5,3.86,4.07
61,read,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,3.83,3.32,3.36,3.39,3.48,3.63,3.97,3.05,3.59
62,hand,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,5.3,3.34,3.26,3.51,3.46,3.65,3.63,3.16,5.36
63,port,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,3.88,4.98,3.65,4.86,3.69,4.4,3.7,2.73,4.06
64,large,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.39,3.33,2.81,2.86,4.91,3.28,3.19,3.31,2.56,3.33
65,spell,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,2.48,1.7,2.41,2.29,2.41,2.35,2.48,2.35,2.72
66,add,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,3.5,2.52,3.03,3.21,3.31,3.02,3.54,2.57,3.29
67,land,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,5.47,3.8,3.77,3.77,3.81,3.96,3.97,3.82,5.31
68,here,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.97,4.0,3.44,3.84,3.68,3.87,3.98,4.11,3.58,4.09
69,must,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,3.73,3.05,3.29,3.47,3.64,3.74,3.47,3.21,3.84
70,big,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.67,4.57,4.28,4.25,4.46,4.53,4.43,4.55,3.97,4.64
71,high,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,4.56,3.61,3.8,4.12,4.0,4.2,4.1,3.64,4.43
72,such,1,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,4.25,2.63,2.96,3.02,3.06,3.12,3.08,2.81,3.33
73,follow,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,3.31,2.79,3.08,3.1,3.44,3.21,3.64,2.86,3.23
74,act,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,3.84,3.74,3.56,3.74,4.14,3.75,3.82,2.95,3.5
75,ask,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,3.39,2.8,3.19,3.33,3.35,3.31,3.75,2.95,4.03
76,men,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.51,4.06,3.63,4.0,3.97,4.25,4.12,4.09,3.45,6.82
77,change,1,2,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.54,3.79,3.45,3.53,4.9,3.66,3.7,3.65,3.1,3.57
78,light,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,4.01,3.64,3.87,3.83,3.98,4.15,4.08,3.68,3.99
79,kind,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,5.27,2.36,2.94,3.04,2.98,3.13,3.43,2.98,3.58
80,off,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,4.27,4.19,4.03,4.16,4.32,4.22,4.46,3.65,4.33
81,need,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.97,3.67,3.36,3.46,3.52,3.52,3.85,3.8,3.6,3.74
82,house,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.71,4.27,4.09,4.2,4.11,4.35,4.45,4.53,3.82,4.44
83,picture,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5.13,3.39,2.43,2.96,3.09,3.14,2.98,3.42,2.91,3.18
84,try,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.5,3.49,2.37,3.14,3.11,3.15,3.4,3.36,2.94,3.57
85,us,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.04,5.3,5.92,4.55,4.65,4.34,4.46,5.0,4.0,4.3
86,again,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.7,3.74,3.2,3.6,3.49,3.67,3.93,3.98,3.35,3.86
87,animal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4.81,3.5,4.6,4.67,4.61,3.45,3.49,4.75,3.1,3.38
88,point,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,4.02,3.62,3.75,5.58,3.97,3.93,4.09,3.37,3.94
89,mother,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,5.24,3.36,3.6,3.39,3.16,3.27,3.45,3.64,2.97,3.53
90,world,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.89,4.55,4.6,4.34,4.26,4.52,4.69,4.75,4.45,4.48
91,near,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5.29,3.1,2.66,2.75,2.84,2.9,2.95,3.16,2.56,3.13
92,build,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,3.22,2.43,3.02,3.03,3.27,2.94,3.34,2.85,3.01
93,self,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,3.72,3.3,3.37,3.7,3.73,3.62,3.73,2.81,3.59
94,earth,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,3.59,3.67,3.64,3.38,3.69,3.8,3.88,3.31,3.85
95,father,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,5.26,3.08,2.2,3.0,2.76,2.78,2.97,3.37,2.82,2.95
96,any,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.07,3.6,6.02,3.47,3.31,3.37,3.69,3.63,3.15,3.45
97,new,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,5.1,4.71,4.66,5.05,5.15,4.87,4.86,4.73,5.09
98,work,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.96,3.98,3.55,3.58,3.6,3.79,3.86,4.1,3.45,3.8
99,part,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,4.15,6.02,3.81,5.63,4.14,3.89,4.14,3.38,4.18
100,take,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.92,3.88,3.49,3.54,3.61,3.79,3.95,4.01,3.62,3.91
101,get,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28,4.11,3.46,3.81,3.88,3.82,4.11,4.22,3.8,4.28
102,place,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.71,3.74,3.56,3.7,5.66,3.67,4.09,3.96,3.24,3.84
103,made,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.92,3.98,3.79,3.66,3.91,4.11,4.08,3.83,3.53,3.71
104,live,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5.54,4.93,4.17,4.11,4.51,4.73,4.52,4.71,4.18,4.81
105,where,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6.0,3.65,2.79,3.39,3.47,3.56,3.78,3.79,3.42,3.68
106,after,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,6.11,3.91,3.53,3.57,3.67,3.67,3.89,3.91,3.38,3.83
107,back,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,4.1,3.55,3.92,4.1,4.07,4.15,4.32,3.9,4.4
108,little,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.75,4.05,3.71,3.91,3.96,4.17,4.29,4.45,3.7,4.17
109,only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.12,3.94,3.07,3.55,3.67,3.65,3.96,3.94,3.55,4.01
110,round,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,3.37,3.2,3.45,3.68,3.84,3.16,3.69,2.97,3.45
111,man,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,6.46,4.04,4.52,4.45,4.58,4.46,4.52,3.99,6.73
112,year,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5.96,3.65,3.4,3.28,3.42,3.47,3.71,3.97,3.06,3.88
113,came,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.5,3.03,2.07,3.04,3.41,2.98,2.9,3.23,2.92,3.03
114,show,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,4.81,4.16,4.64,4.45,4.72,4.64,5.1,3.69,4.44
115,every,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5.79,3.47,2.57,3.13,3.22,3.32,3.45,3.56,3.13,3.53
116,good,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,4.2,3.79,3.97,4.08,4.06,4.31,4.26,3.88,4.34
117,me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.48,4.63,5.58,6.7,6.31,6.09,4.87,6.55,4.47,4.82
118,give,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5.71,3.59,2.49,3.25,3.39,3.39,3.6,3.75,3.33,3.67
119,our,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,3.9,3.71,3.59,3.8,3.75,4.05,3.96,3.57,3.81
120,under,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,5.73,3.73,3.63,3.45,3.4,4.16,3.7,3.9,3.07,6.17
121,name,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.61,5.14,2.94,3.43,3.62,3.57,3.75,3.89,3.6,3.74
122,very,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6.0,3.67,2.9,3.35,3.44,3.58,3.6,3.59,3.3,3.65
123,through,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,3.5,2.82,3.22,3.27,3.36,3.3,3.73,3.21,3.44
